,step_1000,step_2000,step_3000,step_4000,step_5000,gold formula,step_6000,step_8000,step_9000,step_11000,step_12000,step_13000,step_15000,step_16000,step_17000,step_19000,step_20000,step_22000,step_24000
0,( ( ( ( ( ( ( ( x_0 x_0 x_ x_ x_ x_ x_ x_ x_ ) x_ ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) )padpadpadpadpadpadpadpadpad ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) )padpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpad ) )padpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpad,( ( ( ( x_0 <= 0.108 ),( x_0 <= 0.114 or x_0 <= 0.077 ),( x_0 <= 1.1919 or x_0 <= 0.119 ),( x_0 <= 1.1888 or x_0 <= 0.188 ),( x_0 <= 1.4633 or x_0 <= 0.5746 ),( x_0 <= 1.0664 or x_0 <= 1.0064 ),( x_0 <= 1.1515 or x_0 <= 1.1111 ),( x_0 <= 1.0067 or x_0 <= -0.8999 ),not ( x_0 >= 1.0699 ),( x_0 <= 1.044 or x_0 <= -0.9444 ),( x_0 <= 1.415 or x_0 <= 1.457 ),( x_0 <= 1.3119 or x_0 <= 1.2119 ),not ( x_0 >= 1.377 ),( x_0 <= 1.411 or x_0 <= -0.155 ),( x_0 <= 1.376 or x_0 <= 1.376 ),( ( x_0 <= 1.4288 or x_1 <= -0.0888 ) or ( x_0 <= 1.368 and x_1 <= -0.0888 ) ),( x_0 <= 1.364 or x_0 <= 1.364 ),not ( x_0 >= 1.453 )
1,( ( ( ( ( ( ( ( x_0 x_0 x_ x_ x_ >= x_ x_ x_ x_ x_ x_ ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) x_ ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) )padpadpadpadpadpadpadpad ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) )padpadpadpadpadpadpadpad ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) )padpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpad,( ( ( ( ( x_0 >= 0.188 ),"( ( x_0 >= 0.111 until[1,35] x_0 >= 0.224 ) and ( x_0 >= 0.024 and x_0 >= 0.044 ) and ( x_0 >= 0.004 and x_0 >= 0.044 ) )","( x_0 >= 1.119 until[2,36] x_0 >= 1.111 )",( x_0 >= 1.1877 and x_0 >= 1.187 ),"eventually[14,21] ( x_0 >= 1.7708 )","( x_0 >= 1.0064 until[2,17] x_0 >= 1.0064 )","( x_0 >= 1.0115 until[15,20] x_0 >= 1.0111 )","( x_0 >= -1.0003 until[13,27] x_0 >= 1.0093 )","( x_0 >= 1.0336 until[16,29] x_0 >= -0.9993 )","( x_0 >= 1.4444 until[2,10] x_0 >= -0.0044 )","( x_0 >= 1.555 until[25,35] x_0 >= 1.511 )","( x_0 >= 1.7119 until[19,35] x_0 >= 1.7199 )","( x_0 >= 1.566 until[26,35] x_0 >= 1.766 )","( x_0 >= 1.711 until[15,28] x_0 >= -0.141 )","( x_0 >= 1.7166 until[15,28] x_0 >= -0.0666 )","( x_0 >= 1.8168 until[15,25] x_0 >= 1.7688 )","( x_0 >= 1.711 until[14,28] x_0 >= 1.613 )","( x_0 >= 1.7111 until[29,34] x_0 >= 0.1661 )"
2,( ( ( ( ( ( ( ( x_0 x_0 x_ x_ x_ x_ x_,( ( ( ( x_0 <= 0.108 ),( x_0 <= 0.114 or x_0 <= 0.077 ),( x_0 <= 1.1919 or x_0 <= 0.119 ),( x_0 <= 1.1888 or x_0 <= 0.188 ),not ( x_0 >= 1.3914 ),( x_0 <= 1.0664 or x_0 <= 1.0064 ),( x_0 <= 1.1515 or x_0 <= 1.1511 ),( x_0 <= 1.0067 or x_0 <= -0.8999 ),not ( x_0 >= 1.0699 ),( x_0 <= 1.054 or x_0 <= -0.9444 ),( x_0 <= 1.415 or x_0 <= 1.457 ),( x_0 <= 1.2119 or x_0 <= 1.2119 ),not ( x_0 >= 1.357 ),( x_0 <= 1.311 or x_0 <= 1.378 ),( x_0 <= 1.316 or x_0 <= 1.276 ),( x_0 <= 1.368 or x_0 <= 1.368 ),( x_0 <= 1.314 or x_0 <= 1.264 ),not ( x_0 >= 1.353 )
3,( ( ( ( ( ( ( ( x_0 x_0 x_ x_ x_ x_,( ( ( ( x_0 <= 0.108 ),( x_0 <= 0.005 or x_0 <= 0.002 ),"( ( x_0 <= -0.019 or x_0 <= 0.019 ) or ( x_0 <= -0.011 until[1,36] x_0 <= 0.015 ) )","always[2,16] ( always[28,36] ( x_0 <= -0.088 ) )","always[8,inf] ( x_0 <= 0.288 )","always[22,26] ( ( ( x_0 >= 0.0004 or x_0 >= -0.0034 ) or ( x_0 >= -0.0034 or x_0 >= -0.0034 ) ) until[20,33] ( ( x_0 >= -0.0034 or x_0 >= -0.0036 ) or ( x_0 >= -0.0036 or x_0 >= -0.0036 ) ) ) )","always[21,25] ( always[2,25] ( always[15,29] ( ( x_0 <= 0.1111 or x_0 <= 0.1111 ) ) ) )","always[22,inf] ( x_0 <= 0.2299 )","always[29,31] ( always[16,29] ( x_0 <= -0.1226 ) )","always[25,34] ( always[2,inf] ( x_0 <= 0.254 ) )","always[25,35] ( always[1,inf] ( x_0 <= 0.2225 ) )","always[29,inf] ( x_0 <= 0.1999 )","always[29,34] ( always[16,28] ( x_0 <= 0.186 ) )","always[28,34] ( always[15,28] ( x_0 <= 0.1211 ) )","always[25,inf] ( x_0 <= 0.2906 )","always[28,36] ( always[10,17] ( not ( not ( x_0 <= 0.3366 ) ) ) )","always[26,inf] ( x_0 <= 0.2944 )","always[25,inf] ( x_0 <= 0.3331 )"
4,( ( ( ( ( ( ( ( x_0 x_0 x_ x_ x_ x_,( ( x_0 <= 0.008 or x_0 <= 0.088 ),( x_0 <= 0.001 or x_0 <= 0.077 ),( x_0 <= 0.1999 or x_0 <= 0.119 ),"always[2,16] ( x_0 <= 0.188 )","always[18,33] ( x_0 <= 0.956 )",( x_0 <= 0.6664 or x_0 <= 0.0664 ),"always[1,15] ( x_0 <= 1.1115 )","eventually[16,29] ( x_0 <= 0.9997 )","always[16,29] ( x_0 <= 1.0296 )","eventually[25,33] ( x_0 <= 0.994 )","eventually[15,22] ( x_0 <= 0.8895 )","eventually[24,32] ( x_0 <= 0.9999 )","eventually[27,34] ( x_0 <= 0.999 )","always[25,32] ( x_0 <= 0.984 )","eventually[27,33] ( x_0 <= 0.996 )","always[27,34] ( x_0 <= 0.9888 )","eventually[24,29] ( x_0 <= 0.966 )","always[24,29] ( x_0 <= 0.966 )"
5,( ( ( ( ( ( ( ( ( ( ( ( x_ x_ x_ x_. x_ x_ x_ x_ x_ x_ x_ x_ x_ x_ x_ x_ x_ x_ x_ x_ x_ ) ) ) ) ) x_.... ) ) ) ) ) x_ x_ x_ x_ x_ x_ ) x_ x_ x_ ) ) ) ) ) ) ) ) ) ) x_ x_ ) ) x_ x_ ) ) ) ) ) ) ) ) x_ ) ) ) ) x_ x_ ) ) x_ ) x_ x_ x_... ) ) ) ) ) ) ) x_ ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) x_ x_ ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) )padpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpad ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) )padpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpad,( ( ( ( ( ( ( ( x_0 <= -0.088 ) ),( ( ( ( x_0 <= 0.008 or x_0 <= 0.008 ) or ( x_0 <= -0.004 or x_0 >= 0.004 ) or ( x_0 <= 0.004 or x_0 >= 0.004 ) ) or ( ( x_0 >= 0.004 or x_0 >= -0.004 ) or ( x_0 >= 0.004 or x_0 >= 0.004 ) ) or ( ( x_0 <= 0.004 or x_0 >= 0.004 ) or ( x_0 <= 0.004 or x_0 >= 0.004 ) ) ) ),"( ( ( ( x_0 >= -0.0199 and x_0 >= -0.001 ) until[1,inf] ( x_0 >= -0.011 and x_0 >= -0.0155 ) ) or ( ( x_0 >= -0.0155 and x_0 >= -0.0055 ) and ( x_0 >= -0.0054 and x_0 >= -0.005 ) ) ) or ( ( ( x_0 <= -0.005 and x_0 >= -0.005 ) and ( x_0 >= -0.005 and x_0 >= -0.035 ) ) and ( ( x_0 <= -0.035 and x_0 >= -0.035 ) and ( x_0 >= -0.034 and x_0 >= -0.035 ) ) ) )","( ( x_0 >= -0.1888 and x_0 >= -0.188 ) until[2,36] ( x_0 >= -0.188 or x_0 >= -0.188 ) )",( x_0 >= -0.6341 and x_0 <= 0.7004 ),( x_0 >= -0.0064 and x_0 >= 0.0064 ),( x_0 <= -0.5111 and x_0 <= 0.5111 ),( x_0 <= -0.6993 and x_0 >= 0.6993 ),( x_0 <= -0.6666 and x_0 >= 0.6666 ),( x_0 <= -0.654 and x_0 <= 0.654 ),"( x_0 >= -0.555 until[1,12] x_0 >= 0.588 )",( x_0 <= -0.4693 and x_0 <= 0.6693 ),"( x_0 >= -0.566 until[2,29] x_0 >= 0.666 )","( x_0 >= -0.588 until[10,13] x_0 >= 0.588 )","( x_0 >= -0.366 until[10,20] x_0 <= 0.566 )","( x_0 >= -0.6663 until[10,25] x_0 <= 0.8663 )","( x_0 >= -0.526 until[10,23] x_0 <= 0.6666 )","( x_0 >= -0.666 until[10,23] x_0 <= 0.566 )"
6,( ( ( >= - ( x_0 x_0 x_0 >= x_,( ( x_0 >= -0.008 ),( x_0 >= -0.0011 or x_0 >= 0.002 ),( x_0 >= -0.0319 or x_0 >= -0.011 ),( x_0 >= -0.0887 or x_0 >= -0.0883 ),not ( x_0 <= -0.0046 ),( x_0 >= 0.0004 or x_0 >= -0.0004 ),not ( ( x_0 <= 0.1111 or x_0 <= -0.1111 ) ),( x_0 >= -0.2264 or x_0 >= 0.2266 ),( x_0 >= -0.0226 or x_0 >= -0.2226 ),"( x_0 >= -0.055 until[1,15] x_0 >= -0.054 )","( x_0 >= -0.055 until[1,15] x_0 >= -0.058 )",( x_0 >= -0.0114 and x_0 >= -0.0194 ),not ( x_0 <= 0.187 ),"( x_0 >= -0.048 until[1,21] x_0 >= 0.088 )",( x_0 >= -0.0003 or x_0 >= 0.0003 ),( x_0 >= -0.0463 and x_0 >= -0.0866 ),( x_0 >= -0.014 or x_0 >= -0.044 ),not ( x_0 <= 0.034 )
7,( ( ( <= ( ( x_0 x_0 x_0 x_ x_,( ( x_0 <= 0.008 ),( x_0 <= 0.004 or x_0 <= 0.002 ),( x_0 <= 0.0319 or x_0 <= 0.001 ),( x_0 <= -0.0888 or x_0 <= 0.088 ),not ( x_0 >= 0.1714 ),( x_0 <= 0.0064 or x_0 <= 0.0004 ),( x_0 <= 0.1111 or x_0 <= 0.1111 ),( x_0 <= 0.2229 or x_0 <= 0.2299 ),( x_0 <= -0.0266 and x_0 <= 0.2666 ),( x_0 <= 0.055 or x_0 <= -0.055 ),( x_0 <= 0.155 or x_0 <= 0.255 ),( x_0 <= 0.0094 and x_0 <= 0.0099 ),not ( x_0 >= 0.227 ),"( x_0 <= 0.128 until[10,12] x_0 <= 0.118 )",( x_0 <= 0.2303 or x_0 <= 0.2303 ),not ( x_0 >= 0.2236 ),( x_0 <= 0.121 or x_0 <= 0.121 ),not ( x_0 >= 0.221 )
8,( ( ( ( ( ( ( ( x_0 x_0 x_ x_ x_ x_ x_ x_ x_ ) x_ ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) )padpadpadpadpadpadpadpadpad ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) )padpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpad ) )padpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpadpad,( ( ( ( ( x_0 <= 0.088 ),( x_0 <= 0.114 or x_0 <= 0.077 ),( x_0 <= 1.1919 or x_0 <= 0.119 ),( x_0 <= 1.1888 or x_0 <= 0.188 ),not ( x_0 >= 1.5358 ),( x_0 <= 1.0664 or x_0 <= 1.0064 ),( x_0 <= 1.1515 or x_0 <= 1.1111 ),( x_0 <= 1.0067 or x_0 <= -0.8999 ),not ( x_0 >= 1.2966 ),( x_0 <= 1.044 or x_0 <= -0.9444 ),( x_0 <= 1.515 or x_0 <= 1.457 ),( x_0 <= 1.4119 or x_0 <= 1.411 ),not ( x_0 >= 1.377 ),( x_0 <= 1.511 or x_0 <= -0.155 ),( x_0 <= 1.416 or x_0 <= 1.406 ),( ( x_0 <= 1.4888 or x_1 <= -0.0888 ) or ( x_0 <= 1.468 and x_1 <= -0.0888 ) ),( x_0 <= 1.414 or x_0 <= 1.364 ),not ( x_0 >= 1.5731 )
9,( ( ( <= ( ( x_0 x_0 x_0 x_ x_,( ( x_0 <= 0.008 ),( x_0 <= 0.004 or x_0 <= 0.002 ),( x_0 <= -0.0119 or x_0 <= 0.0119 ),( x_0 <= -0.0888 or x_0 <= 0.088 ),( x_0 <= -0.7917 or x_0 <= 0.0925 ),( x_0 <= 0.0064 and x_0 <= 0.0004 ),"( x_0 <= 0.1111 until[15,24] x_0 <= -0.1111 )",( x_0 <= 0.2229 or x_0 <= -0.2229 ),( x_0 <= -0.0226 and x_0 <= -0.1666 ),( x_0 <= -0.055 or x_0 <= 0.055 ),( x_0 <= -0.155 or x_0 <= 0.255 ),( x_0 <= 0.0094 and x_0 <= -0.0094 ),not ( x_0 >= 0.107 ),"( x_0 <= 0.041 until[10,12] x_0 <= 0.008 )",( x_0 <= 0.0003 or x_0 <= 0.0003 ),not ( x_0 >= 0.1036 ),( x_0 <= 0.021 or x_0 <= -0.044 ),not ( x_0 >= 0.131 )
